# ACC2 rows for n=4096, measured with NO oversample.
# band measured at 1024; band is not in the key.
# 24000 trials a cell.
ACC2 4096 4 6.00 0.8000 8.14 0.930 0.0000e+00
ACC2 4096 4 6.00 0.8000 8.14 0.960 6.7714e-05
ACC2 4096 4 6.00 0.8000 8.14 0.980 6.7714e-05
ACC2 4096 4 6.00 0.8000 8.14 1.000 4.0628e-04
ACC2 4096 4 6.00 0.8000 16.12 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 16.12 0.930 7.0097e-05
ACC2 4096 4 6.00 0.8000 16.12 0.960 1.4019e-04
ACC2 4096 4 6.00 0.8000 16.12 0.980 2.1029e-04
ACC2 4096 4 6.00 0.8000 16.12 1.000 6.3087e-04
ACC2 4096 4 6.00 0.8000 32.61 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 32.61 0.930 0.0000e+00
ACC2 4096 4 6.00 0.8000 32.61 0.960 7.1829e-05
ACC2 4096 4 6.00 0.8000 32.61 0.980 1.4366e-04
ACC2 4096 4 6.00 0.8000 32.61 1.000 6.4646e-04
ACC2 4096 4 6.00 0.8000 64.60 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 64.60 0.930 0.0000e+00
ACC2 4096 4 6.00 0.8000 64.60 0.960 1.4709e-04
ACC2 4096 4 6.00 0.8000 64.60 0.980 3.6773e-04
ACC2 4096 4 6.00 0.8000 64.60 1.000 6.6191e-04
ACC2 4096 4 6.00 0.8000 128.59 0.900 0.0000e+00
ACC2 4096 4 6.00 0.8000 128.59 0.930 0.0000e+00
ACC2 4096 4 6.00 0.8000 128.59 0.960 7.5086e-05
ACC2 4096 4 6.00 0.8000 128.59 0.980 1.5017e-04
ACC2 4096 4 6.00 0.8000 128.59 1.000 3.0035e-04
ACC2 4096 4 6.00 0.9000 2.03 0.900 0.0000e+00
ACC2 4096 4 6.00 0.9000 2.03 0.930 0.0000e+00
ACC2 4096 4 6.00 0.9000 2.03 0.960 0.0000e+00
ACC2 4096 4 6.00 0.9000 2.03 0.980 1.1851e-04
ACC2 4096 4 6.00 0.9000 2.03 1.000 4.7405e-04
