# THR n snr f ratio fd threshold
# The coarse threshold, measured. Not modelled, not corrected.
# 6000 trials a bisection step.
THR 32768 5.00 0.9950 3.000 1e-02 4.5098
THR 32768 5.00 0.9950 4.000 1e-02 4.6855
THR 32768 5.00 0.9950 6.000 1e-02 4.8438
THR 32768 5.00 0.9950 8.000 1e-02 4.8672
THR 32768 5.00 0.9950 16.000 1e-02 4.8965
THR 32768 5.50 0.3000 1.200 1e-02 3.3236
THR 32768 5.50 0.3000 1.500 1e-02 3.3301
THR 32768 5.50 0.3000 2.000 1e-02 3.3172
THR 32768 5.50 0.3000 3.000 1e-02 3.2785
THR 32768 5.50 0.3000 4.000 1e-02 3.2979
THR 32768 5.50 0.3000 6.000 1e-02 3.2141
THR 32768 5.50 0.3000 8.000 1e-02 3.1367
THR 32768 5.50 0.3000 16.000 1e-02 2.9305
THR 32768 5.50 0.4000 1.200 1e-02 3.3494
THR 32768 5.50 0.4000 1.500 1e-02 3.3688
THR 32768 5.50 0.4000 2.000 1e-02 3.3494
THR 32768 5.50 0.4000 3.000 1e-02 3.3559
THR 32768 5.50 0.4000 4.000 1e-02 3.3430
THR 32768 5.50 0.4000 6.000 1e-02 3.3043
THR 32768 5.50 0.4000 8.000 1e-02 3.2463
THR 32768 5.50 0.4000 16.000 1e-02 3.0787
THR 32768 5.50 0.5000 1.200 1e-02 3.3816
THR 32768 5.50 0.5000 1.500 1e-02 3.3945
THR 32768 5.50 0.5000 2.000 1e-02 3.4203
THR 32768 5.50 0.5000 3.000 1e-02 3.4525
THR 32768 5.50 0.5000 4.000 1e-02 3.4396
THR 32768 5.50 0.5000 6.000 1e-02 3.4268
THR 32768 5.50 0.5000 8.000 1e-02 3.3816
THR 32768 5.50 0.5000 16.000 1e-02 3.2205
THR 32768 5.50 0.6000 1.200 1e-02 3.4461
THR 32768 5.50 0.6000 1.500 1e-02 3.4783
THR 32768 5.50 0.6000 2.000 1e-02 3.4977
THR 32768 5.50 0.6000 3.000 1e-02 3.5621
THR 32768 5.50 0.6000 4.000 1e-02 3.6008
THR 32768 5.50 0.6000 6.000 1e-02 3.5879
THR 32768 5.50 0.6000 8.000 1e-02 3.5943
THR 32768 5.50 0.6000 16.000 1e-02 3.5299
THR 32768 5.50 0.7000 1.200 1e-02 3.5557
THR 32768 5.50 0.7000 1.500 1e-02 3.5879
THR 32768 5.50 0.7000 2.000 1e-02 3.6395
THR 32768 5.50 0.7000 3.000 1e-02 3.7490
THR 32768 5.50 0.7000 4.000 1e-02 3.8393
THR 32768 5.50 0.7000 6.000 1e-02 3.8973
THR 32768 5.50 0.7000 8.000 1e-02 3.9037
THR 32768 5.50 0.7000 16.000 1e-02 3.9230
THR 32768 5.50 0.8000 1.200 1e-02 3.6459
THR 32768 5.50 0.8000 1.500 1e-02 3.7168
THR 32768 5.50 0.8000 2.000 1e-02 3.8844
THR 32768 5.50 0.8000 3.000 1e-02 4.0520
THR 32768 5.50 0.8000 4.000 1e-02 4.1680
THR 32768 5.50 0.8000 6.000 1e-02 4.3162
THR 32768 5.50 0.8000 8.000 1e-02 4.3033
THR 32768 5.50 0.8000 16.000 1e-02 4.3227
THR 32768 5.50 0.9000 1.200 1e-02 3.7877
THR 32768 5.50 0.9000 1.500 1e-02 3.9359
THR 32768 5.50 0.9000 2.000 1e-02 4.1615
THR 32768 5.50 0.9000 3.000 1e-02 4.5418
THR 32768 5.50 0.9000 4.000 1e-02 4.6707
THR 32768 5.50 0.9000 6.000 1e-02 4.7480
THR 32768 5.50 0.9000 8.000 1e-02 4.7803
THR 32768 5.50 0.9000 16.000 1e-02 4.8318
THR 32768 5.50 0.9500 1.200 1e-02 3.8264
THR 32768 5.50 0.9500 1.500 1e-02 4.0648
THR 32768 5.50 0.9500 2.000 1e-02 4.2969
THR 32768 5.50 0.9500 3.000 1e-02 4.7223
THR 32768 5.50 0.9500 4.000 1e-02 4.9092
